Title,Type,Current Answer
"Vereinigte Arabische Emirate",Flaggen,"Vereinigte Arabische Emirate – Staatsflagge (Jahr variabel)."
"Afghanistan",Flaggen,"Äfghanistan – Staatsflagge (Jahr variabel)."
"Antigua und Barbuda",Flaggen,"Äntigua und Barbuda – Staatsflagge (Jahr variabel)."
"Anguilla",Flaggen,"Änguilla – Staatsflagge (Jahr variabel)."
"Albanien",Flaggen,"Älbanien – Staatsflagge (Jahr variabel)."
"Armenien",Flaggen,"Ärmenien – Staatsflagge (Jahr variabel)."
"Angola",Flaggen,"Ängola – Staatsflagge (Jahr variabel)."
"Antarktis",Flaggen,"Äntarktis – Staatsflagge (Jahr variabel)."
"Argentinien",Flaggen,"Ärgentinien – Staatsflagge (Jahr variabel)."
"Amerikanisch-Samoa",Flaggen,"Ämerikanisch-Samoa – Staatsflagge (Jahr variabel)."
"Australien",Flaggen,"Äustralien – Staatsflagge (Jahr variabel)."
"Aruba",Flaggen,"Äruba – Staatsflagge (Jahr variabel)."
"Ålandinseln",Flaggen,"Ålandinseln – Staatsflagge (Jahr variabel)."
"Aserbaidschan",Flaggen,"Äserbaidschan – Staatsflagge (Jahr variabel)."
"Bosnien und Herzegowina",Flaggen,"Bosnien und Herzegowina – Staatsflagge (Jahr variabel)."
"Bulgarien",Flaggen,"Bulgarien – Staatsflagge (Jahr variabel)."
"St. Barthélemy",Flaggen,"St. Barthélemy – Staatsflagge (Jahr variabel)."
"Bermuda",Flaggen,"Bermuda – Staatsflagge (Jahr variabel)."
"Brunei Darussalam",Flaggen,"Brunei Darussalam – Staatsflagge (Jahr variabel)."
"Bolivien",Flaggen,"Bolivien – Staatsflagge (Jahr variabel)."
"Karibische Niederlande",Flaggen,"Karibische Niederlande – Staatsflagge (Jahr variabel)."
"Bhutan",Flaggen,"Bhutan – Staatsflagge (Jahr variabel)."
"Bouvetinsel",Flaggen,"Bouvetinsel – Staatsflagge (Jahr variabel)."
"Botsuana",Flaggen,"Botsuana – Staatsflagge (Jahr variabel)."
"Kokosinseln",Flaggen,"Kokosinseln – Staatsflagge (Jahr variabel)."
"Kongo-Kinshasa",Flaggen,"Kongo-Kinshasa – Staatsflagge (Jahr variabel)."
"Zentralafrikanische Republik",Flaggen,"Zentralafrikanische Republik – Staatsflagge (Jahr variabel)."
"Kongo-Brazzaville",Flaggen,"Kongo-Brazzaville – Staatsflagge (Jahr variabel)."
"Côte d’Ivoire",Flaggen,"Côte d’Ivoire – Staatsflagge (Jahr variabel)."
"Cookinseln",Flaggen,"Cookinseln – Staatsflagge (Jahr variabel)."
"Chile",Flaggen,"Chile – Staatsflagge (Jahr variabel)."
"China",Flaggen,"China – Staatsflagge (Jahr variabel)."
"Kolumbien",Flaggen,"Kolumbien – Staatsflagge (Jahr variabel)."
"Costa Rica",Flaggen,"Costa Rica – Staatsflagge (Jahr variabel)."
"Cabo Verde",Flaggen,"Cabo Verde – Staatsflagge (Jahr variabel)."
"Curaçao",Flaggen,"Curaçao – Staatsflagge (Jahr variabel)."
"Weihnachtsinsel",Flaggen,"Weihnachtsinsel – Staatsflagge (Jahr variabel)."
"Dänemark",Flaggen,"Dänemark – Staatsflagge (Jahr variabel)."
