Nr;Jahr (ca.);Zitat;Urheber
1;400 v. Chr.;Ich weiß, dass ich nichts weiß.;Sokrates
2;49 v. Chr.;Die Würfel sind gefallen.;Julius Cäsar
3;1603;Sein oder Nichtsein, das ist hier die Frage.;William Shakespeare
4;1637;Ich denke, also bin ich.;René Descartes
5;1781;Habe Mut, dich deines eigenen Verstandes zu bedienen!;Immanuel Kant
6;1791;Was du heute kannst besorgen, das verschiebe nicht auf morgen.;Benjamin Franklin
7;1808;Da steh ich nun, ich armer Tor! Und bin so klug als wie zuvor.;Johann Wolfgang von Goethe
8;1848;Ein Gespenst geht um in Europa – das Gespenst des Kommunismus.;Karl Marx & Friedrich Engels
9;1883;Gott ist tot.;Friedrich Nietzsche
10;1897;Wer kämpft, kann verlieren. Wer nicht kämpft, hat schon verloren.;Bertolt Brecht
11;1905;Phantasie ist wichtiger als Wissen, denn Wissen ist begrenzt.;Albert Einstein
12;1910;Das Herz hat seine Gründe, die die Vernunft nicht kennt.;Blaise Pascal
13;1939;Frankly, my dear, I don't give a damn.;Rhett Butler (Vom Winde verweht)
14;1940;Ich habe nichts zu bieten außer Blut, Mühsal, Tränen und Schweiß.;Winston Churchill
15;1943;Man sieht nur mit dem Herzen gut. Das Wesentliche ist für die Augen unsichtbar.;Antoine de Saint-Exupéry
16;1944;Die Freiheit ist immer Freiheit der Andersdenkenden.;Rosa Luxemburg
17;1948;Auge um Auge – und die ganze Welt wird blind sein.;Mahatma Gandhi
18;1952;Niemand hat die Absicht, eine Mauer zu errichten!;Walter Ulbricht
19;1961;Fragt nicht, was euer Land für euch tun kann – fragt, was ihr für euer Land tun könnt.;John F. Kennedy
20;1963;I have a dream.;Martin Luther King
21;1966;Fußball ist ein Spiel von elf gegen elf, und am Ende gewinnen die Deutschen.;Gary Lineker
22;1969;Das ist ein kleiner Schritt für einen Menschen, aber ein gewaltiger Sprung für die Menschheit.;Neil Armstrong
23;1977;Möge die Macht mit dir sein.;Star Wars (Obi-Wan Kenobi)
24;1980;Ich bin dein Vater.;Star Wars (Darth Vader)
25;1982;E.T. nach Hause telefonieren.;E.T. - Der Außerirdische
26;1984;Ich komme wieder.;Terminator (Arnold Schwarzenegger)
27;1985;Das Leben ist wie eine Schachtel Pralinen, man weiß nie, was man bekommt.;Forrest Gump
28;1987;Tear down this wall!;Ronald Reagan
29;1989;Wir sind das Volk!;Montagsdemonstrationen DDR
30;1991;Es gibt kein richtiges Leben im falschen.;Theodor W. Adorno
31;1994;Hasta la vista, baby.;Terminator 2
32;1997;Ich bin der König der Welt!;Titanic (Jack Dawson)
33;2005;Wir sind Papst.;BILD-Zeitung
34;2015;Wir schaffen das.;Angela Merkel
35;1774;Edel sei der Mensch, hilfreich und gut.;Johann Wolfgang von Goethe
36;1892;Elementar, mein lieber Watson.;Sherlock Holmes (Arthur Conan Doyle)
37;1849;Alles;was wir sehen oder scheinen
38;1945;Die Welt hat genug für jedermanns Bedürfnisse;aber nicht für jedermanns Gier.
39;1968;In Zukunft wird jeder für 15 Minuten weltberühmt sein.;Andy Warhol
40;1974;Es gibt nur ein Tempo: Vorwärts!;Franz Beckenbauer
41;1859;Es ist nicht die stärkste Spezies die überlebt, sondern diejenige, die sich am ehesten dem Wandel anpasst.;Charles Darwin
42;1942;Schau mir in die Augen, Kleines.;Casablanca (Rick Blaine)
43;1966;Warp-Geschwindigkeit, Mr. Sulu.;Star Trek (Captain Kirk)
44;1919;Zwei Dinge sind unendlich, das Universum und die menschliche Dummheit.;Albert Einstein
45;1889;Was mich nicht umbringt;macht mich stärker.
46;2008;Manche Menschen wollen die Welt einfach nur brennen sehen.;The Dark Knight (Alfred)
47;1999;Willkommen in der Wüste der Realität.;The Matrix (Morpheus)
48;1949;Big Brother is watching you.;George Orwell (1984)
49;1913;Wir müssen der Wandel sein;den wir in der Welt zu sehen wünschen.
50;1920;Ein Experten ist ein Mann, der alle Fehler gemacht hat, die man in einem sehr schmalen Fachgebiet machen kann.;Niels Bohr
51;1925;Geben Sie mir ein Museum;und ich werde es füllen.
52;1954;Es gibt kein Ende. Es gibt keinen Anfang. Es gibt nur die unendliche Leidenschaft des Lebens.;Federico Fellini
53;1900;Der Weg ist das Ziel.;Konfuzius (zugeschrieben)
54;1854;Das Geheimnis des Glücks ist die Freiheit, und das Geheimnis der Freiheit ist der Mut.;Perikles
55;1931;Alles, was man sich vorstellen kann, ist real.;Pablo Picasso
56;1971;Imagine all the people living life in peace.;John Lennon
57;1797;Die Geister;die ich rief
58;1980;Do or do not. There is no try.;Yoda (Star Wars)
59;1920;Das Unmögliche möglich machen.;Walt Disney
60;1915;Die Metamorphose: Als Gregor Samsa eines Morgens aus unruhigen Träumen erwachte...;Franz Kafka
61;1942;Das Tagebuch der Anne Frank: Trotz allem glaube ich an das Gute im Menschen.;Anne Frank
62;1952;Ein Raum ohne Bücher ist wie ein Körper ohne Seele.;Cicero
