Land / Gebiet,Typ,Gründungsjahr (Def.),Hintergrund / Systemischer Bruch
Vereinigte Arabische Emirate,Flaggen,1971,Gründung der Föderation und Unabhängigkeit.
Afghanistan,Flaggen,2021,Machtübernahme der Taliban (Ende der Republik).
Antigua und Barbuda,Flaggen,1981,Unabhängigkeit vom Vereinigten Königreich.
Anguilla,Flaggen,1982,Inkrafttreten der aktuellen Verfassungsordnung.
Albanien,Flaggen,1998,Inkrafttreten der aktuellen Verfassung.
Armenien,Flaggen,2015,Wechsel zum parlamentarischen Regierungssystem.
Angola,Flaggen,2010,Inkrafttreten der aktuellen Verfassung.
Antarktis,Flaggen,1961,Inkrafttreten des Antarktis-Vertrags.
Argentinien,Flaggen,1994,Letzte große Verfassungsreform.
Amerikanisch-Samoa,Flaggen,1967,Inkrafttreten der Verfassung.
Australien,Flaggen,1986,Australia Act (völlige Souveränität).
Aruba,Flaggen,1986,Erlangung des Status Aparte innerhalb der Niederlande.
Ålandinseln,Flaggen,1993,Neue Autonomie-Akte (Finnland).
Aserbaidschan,Flaggen,1995,Erste Verfassung nach der Unabhängigkeit.
Bosnien und Herzegowina,Flaggen,1995,Dayton-Abkommen (Verfassung als Teil des Vertrags).
Bulgarien,Flaggen,1991,Neue Verfassung nach Ende des Sozialismus.
St. Barthélemy,Flaggen,2007,Trennung von Guadeloupe (Überseekollektiv).
Bermuda,Flaggen,1968,Inkrafttreten der aktuellen Verfassungsordnung.
Brunei Darussalam,Flaggen,1984,Vollständige Unabhängigkeit vom UK.
Bolivien,Flaggen,2009,Neugründung als Plurinationaler Staat.
Karibische Niederlande,Flaggen,2010,Integration als besondere Gemeinden in die Niederlande.
Bhutan,Flaggen,2008,Übergang zur konstitutionellen Monarchie.
Bouvetinsel,Flaggen,1930,Unterstellung unter norwegische Souveränität.
Botsuana,Flaggen,1966,Unabhängigkeit vom Vereinigten Königreich.
Kokosinseln,Flaggen,1984,Referendum zur Integration in Australien.
Kongo-Kinshasa,Flaggen,2006,Verfassung der Dritten Republik.
Zentralafrikanische Republik,Flaggen,2023,Inkrafttreten der neuen Verfassung.
Kongo-Brazzaville,Flaggen,2015,Neue Verfassung nach Referendum.
Côte d'Ivoire,Flaggen,2016,Verfassung der Dritten Republik.
Cookinseln,Flaggen,1965,Erlangung der Selbstverwaltung.
Chile,Flaggen,2005,Große Verfassungsreform (Bruch mit Pinochet-Resten).
China,Flaggen,1982,Aktuelle Verfassung der Volksrepublik.
Kolumbien,Flaggen,1991,Inkrafttreten der modernen Verfassung.
Costa Rica,Flaggen,1949,Neue Verfassung nach dem Bürgerkrieg.
Cabo Verde,Flaggen,1992,Demokratisierung und neue Verfassung.
Curaçao,Flaggen,2010,Eigenständiges Land im Königreich.
Weihnachtsinsel,Flaggen,1958,Übertragung der Hoheitsgewalt an Australien.
Dänemark,Flaggen,1953,Letzte große Grundgesetzänderung.
Dominikanische Republik,Flaggen,2015,Letzte große Verfassungsreform.
Algerien,Flaggen,2020,Neue Verfassung nach den Hirak-Protesten.
Ecuador,Flaggen,2008,Inkrafttreten der aktuellen Verfassung.
Westsahara,Flaggen,1976,Proklamation der D.A.R.S. (Bruch mit Besatzung).
Äthiopien,Flaggen,1995,Inkrafttreten der föderalen Verfassung.
Finnland,Flaggen,2000,Neue Verfassung (Stärkung des Parlaments).
Falklandinseln,Flaggen,2009,Aktuelle Verfassungsordnung.
Färöer,Flaggen,1948,Autonomiegesetz (Heimastýrislóg).
GB-ENG,Flaggen,1707,Acts of Union (Systembruch/Zusammenschluss).
GB-NIR,Flaggen,1998,Karfreitagsabkommen (neuer systemischer Rahmen).
GB-SCT,Flaggen,1999,Wiedereinführung des schottischen Parlaments.
Vereinigtes Königreich,Flaggen,1922,Heutige Zusammensetzung (Austritt Irlands).
Französisch-Guayana,Flaggen,1946,Umwandlung in ein Überseedépartement.
Guernsey,Flaggen,2005,Umfassende Reform der Regierungsstruktur.
Gibraltar,Flaggen,2006,Neue Verfassungsordnung.
Grönland,Flaggen,2009,Erweiterte Selbstverwaltung (Self-Government).
Guadeloupe,Flaggen,1946,Umwandlung in ein Überseedépartement.
Griechenland,Flaggen,1975,Verfassung nach Ende der Militärdiktatur.
Südgeorgien...,Flaggen,1985,Trennung von den Falklandinseln.
Guatemala,Flaggen,1985,Aktuelle demokratische Verfassung.
Guam,Flaggen,1950,Guam Organic Act (zivile US-Verwaltung).
SVR Hongkong,Flaggen,1997,Rückgabe an China (Basic Law).
Heard/McDonaldins.,Flaggen,1947,Übertragung der Verwaltung an Australien.
